
language,complexity,user_preference,model
python,5,performance,deepseek_33b
python,15,performance,qwen_72b
python,5,accuracy,kimi_22b
python,15,accuracy,qwen_72b
javascript,5,performance,deepseek_33b
javascript,15,performance,qwen_72b
javascript,5,accuracy,kimi_22b
javascript,15,accuracy,qwen_72b
java,5,performance,deepseek_33b
java,15,performance,qwen_72b
java,5,accuracy,kimi_22b
java,15,accuracy,qwen_72b
python,5,cost,deepseek_33b
python,15,cost,deepseek_33b
javascript,5,cost,deepseek_33b
javascript,15,cost,deepseek_33b
java,5,cost,deepseek_33b
java,15,cost,deepseek_33b
